Date,DJI,DWDP,MMM,IBM,KO,MCD,GS,MSFT,TRV,AXP,PG,UTX,JPM,AAPL,DIS,BA,XOM,INTC,CAT,GE,V,NKE,CVX,CSCO,WMT,PFE,JNJ,HD,UNH,MRK,VZ
1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/15,18010.67969,47.420986,147.538406,147.685028,37.124897,87.906822,197.962769,43.534611,94.413116,75.83255,71.143219,108.852509,60.642338,122.836502,105.774597,127.498672,75.674515,31.326124,76.196068,24.37715,67.078011,48.536457,90.715012,26.509138,68.026535,30.860376,92.243629,104.479248,114.530228,55.347027,42.982582
1/6/15,17619.50977,46.601334,144.010117,143.770752,35.556873,87.875854,201.084229,41.283485,90.24894,73.930077,71.00708,103.620537,62.46769,118.757591,109.387634,126.672081,74.5093,27.853502,75.74955,23.751408,65.698456,51.850235,85.810486,24.835926,65.377335,30.02331,90.429611,104.207321,116.235657,51.74752,40.522209
1/7/15,17689.85938,43.199223,141.247543,143.178543,37.540829,92.303398,197.501511,43.667919,99.69384,72.621727,69.609444,93.700302,63.177563,114.847298,115.003639,131.648712,70.936089,26.507521,70.221489,23.52972,73.711411,55.306282,78.703362,25.704189,66.345139,32.288719,92.981239,110.322662,116.1539,54.000366,40.678707
1/8/15,16528.0293,40.169952,132.661057,130.715927,35.932461,89.964836,182.226852,40.694386,95.259674,73.251892,64.661995,85.573578,59.479797,106.913086,98.205956,119.33033,67.380791,26.132116,68.193008,22.54706,69.758743,108.116531,72.04097,23.587296,59.662697,29.781546,87.200653,109.785324,110.700218,49.320213,40.471676
1/9/15,16284.7002,38.921524,133.236526,129.198746,36.663544,91.876404,167.92392,41.659264,93.502899,70.778954,65.824028,83.669266,56.57539,104.905174,98.514412,120.339813,67.206741,27.826382,58.909534,22.73638,68.265862,59.026329,71.04818,23.924519,60.172169,28.344822,87.278694,108.870926,110.996834,45.235382,38.272602
1/10/15,17663.53906,47.192547,147.747192,124.840721,39.036716,104.669914,181.202469,49.546848,106.719795,69.948288,69.886566,92.526024,59.618969,113.655197,109.638245,136.072678,74.790665,31.260826,65.786507,26.305338,76.027351,63.214954,81.856728,26.294182,53.119293,30.519632,94.459221,117.147308,113.177803,50.493073,41.236954
1/11/15,17719.91992,47.637581,147.155121,124.252518,39.285595,106.450928,183.637817,51.156368,108.307976,68.660416,69.092834,90.307144,62.320274,112.513885,109.377991,133.664932,73.81443,32.100979,66.211868,27.233122,77.428749,63.818012,82.253036,25.036217,54.604107,29.572104,94.655556,126.849586,108.305893,48.968861,40.498405
1/12/15,17425.0293,47.730297,142.502808,123.798798,39.902683,111.025902,174.773056,52.571941,106.691429,66.657356,73.311913,90.909729,61.712772,100.540207,101.29055,133.696198,71.075119,32.029583,61.937481,28.333725,76.134552,60.305801,82.017677,24.953531,56.887009,29.36504,96.747284,125.305183,113.043266,48.793346,41.184525
1/1/16,16466.30078,39.286812,142.843384,112.257324,39.865524,116.326286,156.66835,52.202393,101.735878,51.274887,75.416817,82.979851,55.609722,92.975334,92.956573,111.079048,70.983932,28.840574,56.724377,26.667044,73.130394,60.123791,78.8358,21.857309,62.098557,27.736683,98.367279,119.683426,111.138145,47.211742,44.525978
