"JPM.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","NFLX.Adjusted"
93.008469,70.385216,135.240707,947.549988,188.779999
92.812729,70.032112,136.606491,943.26001,187.350006
92.117836,69.482834,137.34874,934.280029,178.550003
91.706757,69.580917,136.923187,937.429993,179.380005
93.155281,70.895248,137.27948,959.900024,181.970001
93.351021,71.258163,137.180496,964.809998,180.699997
93.478264,71.346436,137.774323,973.719971,181.350006
94.779968,72.386131,138.764008,967.469971,177.009995
95.279106,72.709801,139.545868,972.080017,179.190002
94.310181,72.641144,140.24852,966.780029,184.449997
95.580109,74.269348,140.634521,985.190002,194.389999
95.412758,74.19088,141.020493,993.640015,198.020004
94.91069,73.945663,140.486053,992.309998,196.869995
95.619484,73.739685,140.674103,987.799988,195.080002
95.334,73.504295,141.07988,1005.650024,194.949997
94.497223,70.983521,142.445618,1005.650024,195.860001
94.36924,70.7285,142.752441,1007.869995,199.490005
96.318443,70.39502,143.257172,1009.349976,202.679993
96.101875,70.806969,142.6436,1011,199.479996
96.46611,71.719154,143.702545,1012.73999,195.539993
96.584259,71.483749,142.702957,1001.840027,195.130005
97.962486,72.121292,144.157791,1005.070007,194.160004
97.795128,72.121292,144.553665,985.539978,192.470001
99.350548,72.817696,145.483978,988.48999,196.020004
99.448997,72.209587,144.078629,991.460022,193.770004
100.157799,72.376328,145.860062,991.419983,195.210007
100.187325,72.454788,144.890167,1033.670044,199.539993
99.832932,72.366508,141.505432,1033.130005,198.369995
99.045372,72.091881,140.941315,1033.040039,196.429993
99.350548,72.61171,142.010193,1042.599976,198
100.010132,73.308113,142.049759,1042.969971,199.320007
99.832932,72.943649,144.781281,1049.98999,200.009995
99.212723,72.697388,143.019653,1042.680054,200.130005
97.214302,71.623665,142.287292,1052.390015,195.889999
96.121567,71.259193,143.435318,1058.290039,196.440002
96.11171,71.347855,141.614304,1047.719971,193.899994
95.993584,71.17054,140.723587,1044.150024,192.020004
96.338142,70.914429,140.68399,1041.199951,195.080002
95.757309,70.461296,141.663773,1041.640015,195.710007
96.66301,70.65831,140.495956,1036.410034,192.119995
96.93866,70.599197,142.603989,1048.469971,195.509995
96.613785,70.26429,145.276123,1035.890015,193.199997
97.470261,70.973534,147.161438,1034.660034,194.100006
97.391495,71.298592,148.302536,1050.300049,196.229996
97.106003,71.180389,148.242996,1051.920044,196.320007
96.790977,70.94397,149.066559,1056.52002,195.75
96.407051,70.323387,148.709351,1072.01001,195.050003
99.783714,72.598869,149.711533,1063.290039,199.179993
102.116859,73.918854,148.679581,1037.380005,188.149994
102.894562,74.371986,150.644257,1036.170044,187.580002
103.16037,74.381836,150.128281,1025.069946,186.820007
105.286774,75.948074,150.574799,1011.869995,184.039993
104.075905,75.396446,150.902237,1019.599976,184.210007
103.298187,74.312881,151.090775,1032.719971,185.300003
102.993019,73.859756,150.554947,1044.569946,185.199997
104.282639,74.578842,151.209839,1049.380005,188.539993
103.97747,74.716751,151.209839,1051.969971,186.220001
105.188332,75.012276,151.388458,1048.77002,185.729996
103.869179,74.017357,149.007019,1051.390015,187.860001
103.032394,72.815582,148.342224,1057.469971,189.559998
104.489372,73.652885,149.403931,1072,190.119995
105.296616,74.539444,149.304718,1085.089966,190.419998
104.853615,73.583931,148.987183,1079.780029,187.020004
104.489372,73.54454,147.32019,1073.560059,188.820007
106.153091,74.687202,146.33786,1070.849976,188.619995
105.778992,74.362129,145.851669,1068.859985,189.940002
105.35569,73.662735,144.740326,1065.849976,187.759995
105.552574,73.771095,145.494446,1060.199951,186.240005
106.113716,73.95826,146.675232,1055.949951,192.710007
105.276939,73.298271,146.466858,1053.400024,191.960007
106.271217,73.249016,144.998306,1073.209961,201.070007
106.379509,73.475578,147.707169,1091.52002,205.050003
107.903465,74.381836,150.425964,1095.76001,205.630005
107.210762,74.283333,152.926437,1110.290039,209.990005
107.369095,73.416473,153.86908,1114.209961,212.050003
107.913368,74.184822,154.910934,1112.790039,209.309998
109.100861,74.519745,153.611084,1110.140015,212.520004
109.6847,74.431084,154.514038,1112.050049,217.240005
111.495628,75.691956,156.032196,1130.650024,221.229996
111.0998,75.957932,154.325516,1130.699951,221.529999
111.812294,76.312553,156.190948,1139.099976,217.5
112.079483,76.233742,156.35965,1135.969971,220.330002
111.832085,77.13015,157.94725,1143.5,220.460007
113.138329,77.41581,159.227264,1164.160034,227.580002
113.019577,77.376419,159.594391,1176.170044,250.289993
114.464363,78.262962,160.933945,1171.290039,261.299988
114.494049,78.25312,161.529297,1182.140015,269.700012
115.107582,78.88356,165.934906,1187.560059,274.600006
114.988831,78.76535,160.49736,1186.47998,284.589996
113.910202,77.445374,160.378281,1177.369995,278.799988
114.464363,77.307465,160.537033,1182.219971,270.299988
115.651855,78.016701,162.303268,1181.589966,265.070007
113.088852,76.177063,157.381668,1119.199951,267.429993
107.66597,72.468102,150.138199,1062.390015,254.259995
110.941467,74.001137,156.716858,1084.430054,265.720001
111.69355,74.169273,156.756531,1055.410034,264.559998
106.755554,71.083427,150.961777,1007.710022,250.100006
108.893044,72.873619,153.442413,1046.27002,249.470001
110.575317,73.941795,158.046478,1054.560059,257.950012
111.258133,74.357201,160.348526,1054.140015,258.269989
113.831024,75.870453,162.283417,1072.699951,266
114.30603,76.236412,165.696777,1091.359985,280.269989
113.48468,75.979248,167.348267,1095.5,278.519989
113.514366,75.623184,167.268677,1103.589966,278.549988
113.989365,76.15728,166.134521,1113.75,281.040009
113.781555,75.435265,166.313583,1109.900024,278.140015
116.087265,76.236412,168.432678,1128.089966,285.929993
117.532051,76.800171,169.328064,1143.699951,294.160004
116.136749,75.544067,167.507446,1117.51001,290.609985
114.296127,74.663803,166.02507,1103.920044,291.380005
112.247711,72.853836,165.666931,1071.410034,290.390015
112.138855,72.873619,166.084763,1084.140015,301.049988
