"PEP.Adjusted","JPM.Adjusted","BLK.Adjusted","PFE.Adjusted","GSPC.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","WHR.Adjusted","BA.Adjusted","NFLX.Adjusted","V.Adjusted"
110.588921,82.471924,375.152985,31.035908,2357.030029,58.928829,111.36956,942.169983,177.357178,175.02832,153.199997,91.145027
110.870888,82.168541,379.856201,31.026279,2365.719971,59.027077,112.180817,950.5,172.414383,173.677277,155.699997,91.095375
110.540321,82.971046,384.588776,31.257387,2381.72998,60.029198,113.526321,954.650024,174.243591,176.966751,157.020004,91.860214
111.522331,82.892746,387.483032,30.929983,2394.02002,59.989902,113.743973,964.070007,175.265244,179.815689,157.160004,92.684647
111.86264,83.930138,387.179932,30.949242,2398.419922,60.628506,113.664825,970.549988,175.89769,179.639481,157.949997,93.230957
112.84465,83.881195,387.51236,30.862577,2404.389893,61.178696,113.82312,977.609985,175.119293,181.362534,157.75,94.174599
114.273933,83.528877,397.339264,30.9685,2415.070068,60.864304,115.297234,991.859985,175.527939,183.144363,163.050003,94.403053
114.643402,83.538666,397.98465,30.949242,2415.820068,60.982197,115.861145,993.27002,174.292252,182.674423,162.429993,94.03553
114.740631,82.109818,397.789093,30.939613,2412.909912,60.559734,115.514885,996.169983,178.252319,182.958344,163.220001,94.085197
114.412674,80.397171,400.155334,31.440348,2411.800049,59.479015,117.186859,987.090027,180.529144,183.692612,163.070007,94.591782
114.765114,81.287743,406.687866,31.498123,2430.060059,60.009548,117.731003,988.289978,182.737823,183.389114,162.990005,94.760643
115.195847,80.876701,407.996338,31.334425,2439.070068,60.039024,117.55291,996.119995,184.761673,186.238022,165.179993,95.505615
115.401436,81.023506,407.514221,31.151463,2436.100098,60.176567,117.592491,1003.880005,186.678452,184.984909,165.059998,95.902939
115.225212,81.18988,407.130554,30.881836,2429.330078,59.940777,116.514107,996.679993,183.808136,182.83107,165.169998,95.148026
114.58889,82.119614,407.101044,30.81443,2433.139893,60.795532,116.415176,1001.5,184.061096,184.15274,165.610001,95.446014
113.453285,83.137413,408.507935,30.573692,2433.790039,62.102219,116.128265,1004.280029,183.983246,185.944321,165.880005,95.446014
113.502235,85.10453,411.725006,31.555901,2431.77002,63.320492,115.574242,970.119995,185.822235,186.042221,158.029999,93.92627
113.786133,85.1241,411.538055,31.488499,2429.389893,63.192768,115.940292,961.809998,185.462219,186.012863,151.440002,92.873383
113.874237,85.407913,412.521851,31.372946,2440.350098,63.55629,117.651848,970.5,188.663345,187.079987,152.720001,94.442787
114.902161,85.231758,414.666534,31.478865,2437.919922,63.585762,118.730232,967.929993,191.232056,188.342926,152.199997,94.681175
114.745514,84.722855,415.532318,31.594421,2432.459961,62.976624,119.788818,960.179993,190.940186,191.348511,151.759995,93.538879
114.402885,84.341171,413.702454,31.748493,2433.149902,62.770306,120.946335,958.619995,190.580154,192.317719,152.380005,93.538879
114.823845,86.190849,421.445038,31.989233,2453.459961,63.349964,120.877083,975.219971,191.553162,194.902328,153.399994,94.154732
115.469963,85.652573,417.814758,32.316631,2437.030029,62.789951,119.897644,968.98999,189.305527,194.16806,152.050003,93.747475
114.951103,85.261124,413.928711,32.624779,2435.610107,62.711353,117.671638,978.590027,188.575806,194.990433,155.029999,93.90641
113.707817,85.163246,416.319366,32.798111,2434.5,62.505035,117.453979,976.619995,189.889343,195.254776,154.889999,93.320358
114.500786,85.00666,414.794464,32.90403,2438.300049,62.298714,118.779694,986.090027,183.58432,197.986221,158.020004,94.939438
114.657417,85.378555,417.814758,32.778854,2439.070068,62.662231,119.333725,972.090027,185.569244,195.783447,157.5,94.581848
113.502235,86.171272,415.296204,32.518852,2419.379883,63.104347,119.135849,948.090027,183.428665,194.716324,151.029999,94.263992
113.932976,87.903503,419.939789,32.499599,2440.689941,64.037697,120.916656,961.01001,183.448105,195.430984,153.410004,95.585083
112.758202,89.205132,416.388214,32.384041,2419.699951,65.806152,120.075722,937.820007,182.961609,193.31633,150.089996,93.787209
113.061684,89.449791,415.571686,32.345524,2423.409912,65.707901,120.382416,929.679993,186.444931,193.60025,149.410004,93.151497
113.012741,91.270287,421.877899,32.566998,2429.01001,67.063728,120.718781,919.460022,186.785477,194.422607,146.169998,92.724373
112.875694,92.18544,421.828705,32.393665,2432.540039,67.250381,122.65789,932.26001,187.992004,197.575012,147.610001,93.379967
112.709251,91.890228,418.306702,31.989233,2409.75,66.444756,120.867188,927.690002,184.576782,197.251953,146.25,92.625053
113.081268,92.352722,425.38028,32.11441,2425.179932,66.719856,122.103859,940.809998,186.921692,198.123276,150.179993,93.290565
111.867332,91.703262,429.177765,32.172192,2427.429932,66.464409,121.718018,951,187.622253,199.679932,152.669998,94.452721
111.34848,91.349007,424.917877,31.941078,2425.530029,65.648964,121.302498,953.530029,186.084946,201.941452,154.330002,94.770584
112.356827,91.034111,428.243164,31.989233,2443.25,65.7472,122.954689,967.659973,187.067642,202.10788,158.75,95.535416
111.622597,91.614693,430.791229,32.047005,2447.830078,65.845444,123.350418,968.849976,187.057938,201.902252,158.210007,95.297028
112.513466,90.778259,431.243774,32.191452,2459.27002,65.550697,123.765938,976.909973,187.096832,204.134445,161.119995,96.280388
112.513466,89.931976,417.755737,32.01812,2459.139893,65.658775,124.033058,975.960022,190.239609,204.614166,161.699997,96.181053
112.591789,89.617081,419.969299,32.124043,2460.610107,65.717728,124.507942,986.950012,190.901245,203.870102,183.600006,96.926041
112.914841,89.745003,419.556091,32.374409,2473.830078,65.531059,125.249954,992.77002,192.983444,206.454697,183.860001,97.591537
113.081268,89.745003,420.362823,32.297375,2473.449951,65.197021,125.813866,992.190002,184.615738,205.867279,183.600006,97.452484
114.177711,89.439957,421.710632,32.239597,2472.540039,64.84333,131.156296,993.840027,186.055725,207.688263,188.539993,98.932495
113.688232,89.82373,421.386017,32.085522,2469.909912,64.941566,132.14563,998.309998,184.946533,207.727402,187.910004,99.697334
114.001503,91.319481,424.366974,31.873672,2477.129883,66.837753,131.334381,969.030029,185.793015,208.001526,186.970001,99.319885
114.725945,90.463364,425.704895,31.671455,2477.830078,66.788628,131.858704,965.309998,185.053558,228.551056,189.080002,100.174126
114.872787,90.089424,418.62149,31.777382,2475.419922,66.415283,130.483536,952.51001,173.426285,235.942627,182.679993,98.902695
114.158134,89.82373,417.135956,31.921825,2472.100098,66.248268,130.800125,958.330017,172.959229,236.20697,184.039993,98.485512
114.158134,90.335442,419.624969,31.931452,2470.300049,67.250381,130.226303,945.5,173.076019,237.372009,181.660004,98.892761
113.482651,91.545807,423.019135,31.854422,2476.350098,68.380226,130.186737,946.559998,171.713806,234.415375,182.029999,100.193977
113.179169,91.624527,418.660797,32.009995,2477.570068,68.203384,127.990417,947.640015,171.811127,232.956635,180.740005,100.601242
113.85466,91.024269,419.113403,32.505901,2472.159912,67.245972,127.347351,940.299988,171.159225,233.250336,179.229996,99.915855
113.923187,92.165771,419.605286,32.710091,2476.830078,68.084946,127.911263,945.789978,173.017654,232.72168,180.270004,100.213852
114.500786,92.520012,420.943268,32.389217,2480.909912,68.144173,127.693604,945.75,173.572235,235.188782,181.330002,100.80983
114.256035,92.18544,421.877899,32.360043,2474.919922,67.986244,126.338219,944.190002,173.71817,234.474121,178.360001,100.601242
114.177711,92.037842,424.357117,32.525345,2474.02002,67.542084,126.654808,940.080017,170.322449,230.761215,175.779999,100.29332
113.932976,90.719215,415.847137,32.49617,2438.209961,66.347786,125.556641,923.590027,167.101852,229.352875,169.139999,98.823235
114.060242,89.961494,417.293335,32.330875,2441.320068,65.933235,126.397583,930.090027,166.615356,231.322571,171.399994,99.419212
115.362282,91.01442,421.130219,32.389217,2465.840088,67.009094,129.138046,938.929993,168.960236,233.558167,171,101.187286
116.468521,91.250603,421.317139,32.457279,2464.610107,67.088058,130.790222,938.080017,168.512665,235.547607,168.5,101.942184
