Date_Open,CSCO_Open,GOOGL_Open
24/5/18,43.3,1064.17
23/5/18,43.4,1065.13
22/5/18,43.79,1083.56
21/5/18,43.49,1074.06
18/5/18,43.46,1061.86
17/5/18,43.13,1079.89
16/5/18,45.36,1077.31
15/5/18,45.21,1090
14/5/18,45.75,1100
11/5/18,46.09,1093.6
10/5/18,46,1086.03
9/5/18,45.904,1058.1
8/5/18,45.82,1058.54
7/5/18,45.36,1049.23
4/5/18,44.01,1016.9
3/5/18,44.008,1019
2/5/18,44.91,1028.1
1/5/18,43.91,1013.66
30/4/18,44.92,1030.01
27/4/18,44.69,1046
26/4/18,43.98,1029.51
25/4/18,43.8,1025.52
24/4/18,44.43,1052
23/4/18,44.26,1077.86
20/4/18,44.5,1082
19/4/18,44.42,1069.4
18/4/18,44.61,1077.43
17/4/18,43.85,1051.37
16/4/18,43.12,1037
13/4/18,43.55,1040.88
12/4/18,42.78,1025.04
11/4/18,42.42,1027.99
10/4/18,42.1,1026.44
9/4/18,40.95,1016.8
6/4/18,41.4,1020
5/4/18,41.5,1041.33
4/4/18,40.39,993.41
3/4/18,41.34,1013.91
2/4/18,42.52,1022.82
29/3/18,41.94,1011.63
28/3/18,42.51,998
27/3/18,44.49,1063
26/3/18,43.25,1046
23/3/18,43.71,1047.03
22/3/18,43.76,1081.88
21/3/18,44.24,1092.74
20/3/18,44.49,1099
19/3/18,44.59,1120.01
16/3/18,45.33,1154.14
15/3/18,45.3,1149.96
14/3/18,45.34,1145.21
13/3/18,45.78,1170
12/3/18,45.53,1163.85
9/3/18,44.62,1136
8/3/18,44.25,1115.32
7/3/18,44.03,1089.19
6/3/18,44.65,1099.22
5/3/18,43.92,1075.14
2/3/18,43.29,1053.08
1/3/18,44.68,1107.87
28/2/18,45.27,1123.03
27/2/18,45.41,1141.24
26/2/18,44.3,1127.8
23/2/18,43.37,1112.64
22/2/18,43.49,1116.19
21/2/18,44.11,1106.47
20/2/18,44,1090.57
16/2/18,43.885,1088.41
15/2/18,45.065,1079.07
14/2/18,41.04,1048.95
13/2/18,40.5,1045
12/2/18,40.515,1048
9/2/18,39,1017.25
8/2/18,40.44,1055.41
7/2/18,40.31,1081.54
6/2/18,38.33,1027.18
5/2/18,40.87,1090.6
2/2/18,41.5,1122
1/2/18,41.09,1162.61
31/1/18,41.98,1170.57
30/1/18,42.685,1167.83
29/1/18,42.3,1176.48
26/1/18,42.15,1175.08
25/1/18,42.27,1172.53
24/1/18,42.2,1177.33
23/1/18,41.54,1159.85
22/1/18,41.2,1137.49
19/1/18,41.28,1131.83
18/1/18,41.24,1131.41
17/1/18,40.84,1126.22
16/1/18,40.9,1132.51
12/1/18,40.22,1102.41
11/1/18,40.14,1106.3
10/1/18,39.65,1097.1
9/1/18,39.79,1109.4
8/1/18,39.52,1102.23
5/1/18,39.55,1094
4/1/18,39.05,1088
3/1/18,38.72,1064.31
2/1/18,38.67,1048.34
29/12/17,38.41,1046.72
28/12/17,38.73,1051.6
27/12/17,38.54,1057.39
26/12/17,38.55,1058.07
22/12/17,38.52,1061.11
21/12/17,38.88,1064.95
20/12/17,38.49,1071.78
19/12/17,38.66,1075.2
18/12/17,38.48,1066.08
15/12/17,38.01,1054.61
14/12/17,38.2,1045
13/12/17,38.09,1046.12
12/12/17,37.79,1039.63
11/12/17,37.59,1035.5
8/12/17,37.59,1037.49
7/12/17,37.26,1020.43
6/12/17,37.37,1001.5
5/12/17,37.74,995.94
4/12/17,37.81,1012.66
1/12/17,37.09,1015.8
30/11/17,37.62,1022.37
29/11/17,37.75,1042.68
28/11/17,37,1055.09
27/11/17,36.51,1040
24/11/17,36.41,1035.87
22/11/17,36.7,1035
21/11/17,36.75,1023.31
20/11/17,35.93,1020.26
17/11/17,35.9,1034.01
16/11/17,36.04,1022.52
15/11/17,33.97,1019.21
14/11/17,33.86,1022.59
13/11/17,33.86,1023.42
10/11/17,34.06,1026.46
9/11/17,34.29,1033.99
8/11/17,34.31,1030.52
7/11/17,34.32,1027.27
6/11/17,34.37,1028.99
3/11/17,34.28,1022.11
2/11/17,34.55,1021.76
1/11/17,34.29,1017.21
31/10/17,33.98,1015.22
30/10/17,34.32,1014
27/10/17,34.15,1009.19
26/10/17,34.41,980
25/10/17,34.73,968.37
24/10/17,34.4,970
23/10/17,34.45,989.52
20/10/17,34.02,989.44
19/10/17,33.51,986
18/10/17,33.72,991.77
17/10/17,33.59,990.29
16/10/17,33.6,992.1
13/10/17,33.4,992
12/10/17,33.26,987.45
11/10/17,33.38,973.72
10/10/17,33.88,980
9/10/17,33.77,980
6/10/17,33.65,966.7
5/10/17,33.58,955.49
4/10/17,33.53,957
3/10/17,33.72,954
2/10/17,33.61,959.98
29/9/17,33.31,952
28/9/17,33.22,941.36
27/9/17,33.78,927.74
26/9/17,33.76,923.72
25/9/17,33.31,925.45
22/9/17,32.66,927.75
21/9/17,32.72,933
20/9/17,32.55,922.98
19/9/17,32.46,917.42
18/9/17,32.43,920.01
15/9/17,32.2,924.66
14/9/17,31.91,931.25
13/9/17,32.34,930.66
12/9/17,32.3,932.59
11/9/17,31.71,934.25
8/9/17,31.68,936.49
7/9/17,31.96,931.73
6/9/17,31.75,930.15
5/9/17,32.15,933.08
1/9/17,32.22,941.13
31/8/17,32.1,931.76
30/8/17,31.47,920.05
29/8/17,31.26,905.1
28/8/17,31.6,916
25/8/17,31.39,923.49
24/8/17,30.95,928.66
23/8/17,31.21,921.93
22/8/17,30.85,912.72
21/8/17,30.37,910
18/8/17,31,910.31
17/8/17,31.49,925.78
16/8/17,32.1,925.29
15/8/17,31.85,924.23
14/8/17,31.69,922.53
11/8/17,31.23,907.97
10/8/17,31.56,917.55
9/8/17,31.55,920.61
8/8/17,31.75,927.09
7/8/17,31.79,929.06
4/8/17,31.67,926.75
3/8/17,31.59,930.34
2/8/17,31.57,928.61
1/8/17,31.59,932.38
31/7/17,31.54,941.89
28/7/17,31.45,929.4
27/7/17,31.73,951.78
26/7/17,32.12,954.68
25/7/17,31.9,953.81
24/7/17,31.86,972.22
21/7/17,31.86,962.25
20/7/17,31.91,975
19/7/17,31.51,967.84
18/7/17,31.41,953
17/7/17,31.5,957
14/7/17,31.37,952
13/7/17,31.26,946.29
12/7/17,31.25,938.68
11/7/17,31.05,929.54
10/7/17,30.88,921.77
7/7/17,30.76,908.85
6/7/17,30.99,904.12
5/7/17,30.85,901.76
3/7/17,31.09,912.18
