Date,GSPC.Adjusted,PEP.Adjusted,JPM.Adjusted,BLK.Adjusted,PFE.Adjusted,C.Adjusted,MCO.Adjusted,GOOGL.Adjusted,WHR.Adjusted,NFLX.Adjusted
17/5/17,2357.030029,110.588921,82.471924,375.152985,31.035908,58.928829,111.36956,942.169983,177.357178,153.199997
18/5/17,2365.719971,110.870888,82.168541,379.856201,31.026279,59.027077,112.180817,950.5,172.414383,155.699997
19/5/17,2381.72998,110.540321,82.971046,384.588776,31.257387,60.029198,113.526321,954.650024,174.243591,157.020004
22/5/17,2394.02002,111.522331,82.892746,387.483032,30.929983,59.989902,113.743973,964.070007,175.265244,157.160004
23/5/17,2398.419922,111.86264,83.930138,387.179932,30.949242,60.628506,113.664825,970.549988,175.89769,157.949997
24/5/17,2404.389893,112.84465,83.881195,387.51236,30.862577,61.178696,113.82312,977.609985,175.119293,157.75
25/5/17,2415.070068,114.273933,83.528877,397.339264,30.9685,60.864304,115.297234,991.859985,175.527939,163.050003
26/5/17,2415.820068,114.643402,83.538666,397.98465,30.949242,60.982197,115.861145,993.27002,174.292252,162.429993
30/5/17,2412.909912,114.740631,82.109818,397.789093,30.939613,60.559734,115.514885,996.169983,178.252319,163.220001
31/5/17,2411.800049,114.412674,80.397171,400.155334,31.440348,59.479015,117.186859,987.090027,180.529144,163.070007
1/6/17,2430.060059,114.765114,81.287743,406.687866,31.498123,60.009548,117.731003,988.289978,182.737823,162.990005
2/6/17,2439.070068,115.195847,80.876701,407.996338,31.334425,60.039024,117.55291,996.119995,184.761673,165.179993
5/6/17,2436.100098,115.401436,81.023506,407.514221,31.151463,60.176567,117.592491,1003.880005,186.678452,165.059998
6/6/17,2429.330078,115.225212,81.18988,407.130554,30.881836,59.940777,116.514107,996.679993,183.808136,165.169998
7/6/17,2433.139893,114.58889,82.119614,407.101044,30.81443,60.795532,116.415176,1001.5,184.061096,165.610001
8/6/17,2433.790039,113.453285,83.137413,408.507935,30.573692,62.102219,116.128265,1004.280029,183.983246,165.880005
9/6/17,2431.77002,113.502235,85.10453,411.725006,31.555901,63.320492,115.574242,970.119995,185.822235,158.029999
